,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1,20.0," 241.8",16.3,100343,"   -39","  -0.6","    17"," -11.2","  -1.8","   1.9"," -10.000","  10.000","   0.000",
2,20.0," 242.1",16.3,100340,"   -26","  14.4","    16"," -10.1","  -2.3","   3.6","  -8.000","  10.000","   0.000",
3,20.0," 241.8",16.3,100341,"   -10","  29.9","    16","  -8.7","  -2.8","   4.1","  -6.000","  10.000","   0.000",
4,20.0," 241.9",16.3,100339,"     9","  45.4","    14","  -6.8","  -2.8","   3.7","  -4.000","  10.000","   0.000",
5,20.0," 241.8",16.3,100339,"    28","  60.0","    13","  -4.7","  -2.6","   3.5","  -2.000","  10.000","   0.000",
6,20.0," 241.9",16.4,100339,"    46","  73.5","    12","  -2.1","  -2.4","   3.2","   0.000","  10.000","   0.000",
7,20.0," 241.6",16.4,100338,"    64","  86.1","    10","   0.7","  -2.2","   3.0","   2.000","  10.000","   0.000",
8,20.0," 241.7",16.4,100338,"    81","  97.9","     9","   3.2","  -2.0","   2.8","   4.000","  10.000","   0.000",
9,20.0," 241.7",16.4,100338,"    94"," 110.2","     8","   4.6","  -1.9","   2.4","   6.000","  10.000","   0.000",
10,20.0," 241.5",16.4,100338,"   108"," 121.7","     8","   5.8","  -2.0","   2.1","   8.000","  10.000","   0.000",
11," 0.6","   0.2",16.4,100340,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000","  10.000","   0.000",
