,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1,20.0," 241.2",15.7,100284,"   -41","  -1.0","   -14"," -11.0","   3.6","  -4.2"," -10.000"," -10.000","   0.000",
2,20.0," 242.7",15.7,100287,"   -28","  14.3","   -14","  -9.8","   3.7","  -4.6","  -8.000"," -10.000","   0.000",
3,20.0," 242.2",15.7,100288,"   -11","  30.2","   -15","  -8.1","   3.3","  -4.4","  -6.000"," -10.000","   0.000",
4,20.0," 242.0",15.7,100288,"     8","  45.7","   -15","  -6.3","   3.1","  -4.5","  -4.000"," -10.000","   0.000",
5,20.0," 242.5",15.7,100294,"    27","  60.2","   -16","  -4.1","   2.8","  -4.5","  -2.000"," -10.000","   0.000",
6,20.0," 242.2",15.8,100286,"    45","  73.7","   -16","  -1.5","   2.3","  -4.4","   0.000"," -10.000","   0.000",
7,20.0," 242.0",15.8,100290,"    63","  86.2","   -16","   0.9","   2.1","  -4.5","   2.000"," -10.000","   0.000",
8,20.0," 241.9",15.8,100291,"    80","  98.0","   -17","   3.3","   1.9","  -4.4","   4.000"," -10.000","   0.000",
9,20.0," 242.2",15.8,100294,"    93"," 110.2","   -17","   4.7","   1.8","  -4.0","   6.000"," -10.000","   0.000",
10,20.0," 241.4",15.9,100297,"   107"," 121.7","   -18","   6.1","   1.9","  -3.8","   8.000"," -10.000","   0.000",
11," 0.4","   0.1",15.9,100297,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000"," -10.000","   0.000",
