,WindSpeed(m/s),"Wind.dP (Pa)",Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos,
1,20.0," 241.4",16.4,100330,"   -37","  -0.6","    24"," -10.7","  -3.0","   3.3"," -10.000","  15.000","   0.000",
2,20.0," 241.4",16.5,100329,"   -25","  14.5","    24","  -9.7","  -3.7","   5.2","  -8.000","  15.000","   0.000",
3,20.0," 241.9",16.5,100328,"    -9","  29.9","    23","  -8.2","  -4.2","   5.6","  -6.000","  15.000","   0.000",
4,20.0," 241.7",16.5,100330,"     9","  45.4","    22","  -6.4","  -4.1","   5.3","  -4.000","  15.000","   0.000",
5,20.0," 241.8",16.5,100329,"    28","  59.8","    21","  -4.4","  -4.0","   4.9","  -2.000","  15.000","   0.000",
6,20.0," 241.5",16.5,100331,"    46","  73.3","    20","  -2.1","  -3.9","   4.4","   0.000","  15.000","   0.000",
7,20.0," 241.8",16.6,100335,"    63","  86.0","    18","   0.7","  -3.7","   4.3","   2.000","  15.000","   0.000",
8,20.0," 241.9",16.6,100327,"    77","  98.4","    16","   2.8","  -3.4","   4.2","   4.000","  15.000","   0.000",
9,20.0," 241.2",16.6,100331,"    91"," 110.4","    15","   4.5","  -3.2","   4.0","   6.000","  15.000","   0.000",
10,20.0," 241.0",16.6,100334,"   106"," 121.8","    15","   6.0","  -3.3","   3.8","   8.000","  15.000","   0.000",
11," 0.6","   0.2",16.7,100329,"     0","   0.0","     0","   0.0","   0.0","   0.0"," -10.000","  15.000","   0.000",
