-4.3391	-0.57121
-4.2804	-0.56272
-4.2237	-0.55449
-2.2992	-0.26031
-2.297	-0.25994
-2.2416	-0.25061
-0.4037	0.00912
-0.3734	0.01036
-0.2305	0.01307
0.7468	-0.04235
0.7503	-0.04223
1.552	0.1527
1.6097	0.17352
1.722	0.21318
2.614	0.40617
2.6702	0.4132
3.2747	0.47475
3.7055	0.50904
4.7126	0.56559
5.6032	0.57118
5.6896	0.57401
5.7498	0.57728
6.696	0.68919
6.7843	0.69996
7.7029	0.78218
7.7321	0.78439
7.7621	0.78667
8.6825	0.8614
8.7094	0.86358
8.7682	0.86828
9.6018	0.89196
9.6617	0.8881
9.7163	0.88367
10.6664	0.75942
10.6734	0.7588
10.6986	0.75664
11.5906	0.7257
11.7118	0.71949
11.7654	0.71577
12.6299	0.63248
12.6361	0.63221
12.744	0.62894
13.6407	0.65611
13.7018	0.65889
13.7531	0.66112
14.7095	0.69759
14.7647	0.70048
14.9059	0.70832
15.5423	0.72375
15.6001	0.72286
15.7753	0.71827
17.6462	0.64838
17.7623	0.64865
17.7654	0.64867
19.7213	0.78904
19.7213	0.78904
19.7217	0.78908
