-4.3391	-0.5207
-4.2804	-0.51362
-4.2237	-0.50677
-2.2992	-0.26788
-2.297	-0.26758
-2.2416	-0.26033
-0.4037	-0.02244
-0.3734	-0.01896
-0.2305	-0.00293
0.7468	0.09392
0.7503	0.09425
1.552	0.17653
1.6097	0.18368
1.722	0.19846
2.614	0.35322
2.6702	0.36357
3.2747	0.45435
3.7055	0.50289
4.7126	0.60077
5.6032	0.68232
5.6896	0.69021
5.7498	0.69572
6.696	0.77799
6.7843	0.78444
7.7029	0.84969
7.7321	0.85205
7.7621	0.85451
8.6825	0.93709
8.7094	0.93939
8.7682	0.94431
9.6018	1.00605
9.6617	1.01024
9.7163	1.01409
10.6664	1.0498
10.6734	1.04952
10.6986	1.04843
11.5906	0.96852
11.7118	0.96159
11.7654	0.95907
12.6299	0.94014
12.6361	0.94004
12.744	0.93818
13.6407	0.91973
13.7018	0.91971
13.7531	0.91987
14.7095	0.92767
14.7647	0.92646
14.9059	0.91953
15.5423	0.82034
15.6001	0.81755
15.7753	0.8118
17.6462	0.81071
17.7623	0.81116
17.7654	0.81117
19.7213	0.80708
19.7213	0.80708
19.7217	0.80708
